WBS;Capitulo;Subcapitulo;Actividad;Semana;BAC;PV;EV;AC;Comentario_Operativo;Comentario_Administrativo
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;1;6962;1160;1160;1160;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;2;6962;2320;2320;2320;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;3;6962;3480;3480;3480;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;4;6962;4640;4640;4640;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;5;6962;5800;5800;5800;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;6;6962;6960;6960;6960;Frente operativo.;Ejecucion conforme.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;7;6962;6962;6962;8120;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;8;6962;6962;6962;9280;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;9;6962;6962;6962;10440;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;10;6962;6962;6962;11600;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;11;6962;6962;6962;12760;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;12;6962;6962;6962;13920;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;13;6962;6962;6962;15080;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;14;6962;6962;6962;16240;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;15;6962;6962;6962;17400;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;16;6962;6962;6962;18560;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;17;6962;6962;6962;19720;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;18;6962;6962;6962;20880;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;19;6962;6962;6962;22040;Actividad terminada.;Costo cerrado.
1.1.1;1. Ingeniería;1.1 Estudios Previos;Levantamiento Topografico;20;6962;6962;6962;23200;Actividad terminada.;Costo cerrado.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;1;6877;1146;1146;1146;Frente operativo.;Ejecucion conforme.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;2;6877;2292;2292;2292;Frente operativo.;Ejecucion conforme.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;3;6877;3438;3438;3438;Frente operativo.;Ejecucion conforme.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;4;6877;4584;4584;4584;Frente operativo.;Ejecucion conforme.
1.1.2;1. Ingeniería;1.1 Estudios Previos;Estudio de Suelos;5;6877;5730;5730;5730;Frente operativo.;Ejecucion conforme.
